time,Druck1,Druckdifferenz,V
39.3,23.59396724,31.86564541,7.362960285
39.4,24.01243328,32.19917138,7.411034658
39.5,24.06004319,32.2385943,7.464078038
39.6,23.82399827,32.02173765,7.442342446
39.7,24.06906401,32.18800357,7.443775227
39.8,23.9492875,32.04187518,7.450512346
39.9,24.36875586,32.48974217,7.431337469
40,24.2053787,32.43330762,7.472156484
40.1,24.21890993,32.53663994,7.514377794
40.2,24.62184011,32.89044815,7.50968315
40.3,24.61181697,32.70056699,7.507854068
40.4,24.50757633,32.64493663,7.450634285
40.5,24.54265731,32.73834994,7.492154447
40.6,24.56270359,32.61384461,7.522212363
40.7,24.42338196,32.60014217,7.45514602
40.8,24.46497799,32.66681087,7.508860064
40.9,24.7335981,33.14599023,7.520871036
41,25.00422285,33.52509265,7.504592205
41.1,24.91501691,33.23121186,7.533766064
41.2,24.62635052,32.81667044,7.578212758
41.3,24.31864016,32.76864129,7.565409184
41.4,24.74562587,32.98941709,7.545075888
41.5,24.82330519,33.10854307,7.598332661
41.6,24.86089196,33.2333725,7.548063389
41.7,24.83884106,32.96903774,7.582206254
41.8,24.80426123,33.01504863,7.518279836
41.9,25.49886474,34.03559684,7.61013024
42,25.20318215,33.70179356,7.583547581
42.1,25.49485548,33.95611373,7.594583043
42.2,25.4236912,33.79770679,7.557513646
42.3,25.08490911,33.53567778,7.588943373
42.4,24.94408401,33.64302093,7.622507029
42.5,25.29840197,33.95154289,7.603301667
42.6,25.32546444,33.71713324,7.5795236
42.7,25.24928859,33.87735684,7.56888444
42.8,25.13452365,33.8042944,7.606990316
42.9,25.64319794,34.32141152,7.687835743
43,25.66474768,34.3578002,7.678324516
43.1,25.56501745,34.38240994,7.63308522
43.2,25.52342143,34.24717517,7.669118137
43.3,25.83313641,34.33430626,7.645736371
43.4,25.58857183,34.10662735,7.613300649
43.5,25.66474768,34.25878874,7.641011242
43.6,25.7344085,34.35301054,7.609764424
43.7,25.81008319,34.35960747,7.688353983
43.8,25.99450895,34.63204341,7.686220054
43.9,26.23857237,35.12120497,7.67484926
44,26.31725401,35.13413481,7.708687279
44.1,25.76848717,34.69461317,7.686707809
44.2,25.92033772,34.74233539,7.743836139
44.3,25.97346035,34.76347758,7.775113442
44.4,25.66374537,34.47678852,7.739995067
44.5,25.77349874,34.41000983,7.709510366
44.6,25.80958204,34.8047858,7.687134595
44.7,25.62816323,34.48009459,7.703047609
44.8,25.85067691,34.56163847,7.680824262
44.9,26.35383847,35.26563723,7.799043932
45,26.37388474,35.2022785,7.762340352
45.1,26.39443218,35.19570652,7.740238944
45.2,26.36987549,35.08825652,7.710729754
45.3,26.31524938,35.16820412,7.768559231
45.4,26.3849102,35.31845566,7.681982681
45.5,26.07319058,35.10446829,7.784472245
45.6,26.44955944,35.42071391,7.691737785
45.7,26.215018,35.30283713,7.770052982
45.8,26.01756216,35.07468007,7.734660244
45.9,26.69662981,35.90571879,7.728106033
46,26.75326054,35.93241582,7.788282833
46.1,26.77531145,36.00256532,7.829559118
46.2,26.55981397,35.77529903,7.78242977
46.3,26.70114022,35.82554498,7.816511666
46.4,26.88857291,36.04802824,7.749049023
46.5,26.56231975,35.63069477,7.817609115
46.6,26.54878851,35.74610869,7.822303759
46.7,26.85449424,35.83613829,7.832516134
46.8,27.06648363,36.17528193,7.791026456
46.9,27.31706209,36.45988759,7.802244826
47,27.42380852,36.40570841,7.846904913
47.1,27.2564221,36.63974055,7.888486045
47.2,27.32959101,36.74412237,7.88190135
47.3,27.24790243,36.64171046,7.86245211
47.4,27.28599036,36.60048689,7.80693947
47.5,27.41829579,36.71283652,7.800110897
47.6,27.6939321,36.78558889,7.88287686
47.7,27.27997648,36.58628601,7.862147263
47.8,27.38421712,36.68796822,7.842698024
47.9,27.62126435,36.98104518,7.878517548
48,27.72750962,37.01974775,7.888486045
48.1,27.67037773,37.02069235,7.965063614
48.2,27.6287817,37.01261183,7.854129787
48.3,27.6683731,37.06806553,7.965978155
48.4,27.66286038,36.91902457,7.922659395
48.5,27.60572848,36.83272651,7.905100207
48.6,27.66386269,36.94075021,7.898302119
48.7,27.51451792,36.87532213,7.949089631
48.8,27.80819589,37.27389596,7.875926348
48.9,28.14647682,37.56049649,7.943114629
49,28.2572325,37.47681106,7.984939639
49.1,28.17905202,37.62684304,7.962746777
49.2,28.10688542,37.59433219,7.990000099
49.3,28.00966097,37.66570865,7.960948179
49.4,27.99161932,37.57884508,7.944852257
49.5,28.06579055,37.61131381,8.004785179
49.6,27.98309966,37.58183838,8.000090536
49.7,28.05777204,37.79543381,7.93287177
49.8,28.05276047,37.78044434,7.9134835
49.9,28.25923713,38.12047134,7.95421106
50,28.42111081,38.08176368,7.985457879
50.1,28.34393265,38.11306318,7.974269994
50.2,28.5539174,38.1713327,7.980976628
50.3,28.78344728,38.57637126,8.049323328
50.4,28.45218254,38.17347033,7.994908136
50.5,28.36147314,37.94204697,8.038806106
50.6,28.39054024,38.01409579,8.068376266
50.7,28.75237555,38.3953752,8.006126506
50.8,29.03051764,38.83700134,7.997834668
50.9,28.93379436,38.66761848,8.071028435
51,28.79196694,38.59819479,8.014326891
51.1,28.95434179,38.7004464,8.09343469
51.2,29.17785778,38.70112265,8.005120511
51.3,29.24551397,39.05813791,8.075997441
51.4,29.19790406,38.83911281,8.080874993
51.5,29.16081845,38.81712197,8.004449848
51.6,28.93078742,38.87337988,8.048500241
51.7,29.10218309,38.86977856,8.115231251
51.8,29.2440105,39.06251884,8.044140928
51.9,29.25704058,39.15818639,8.0750829
52,29.33071065,39.34186919,8.098678059
52.1,28.98391005,39.06568141,8.139253196
52.2,29.32369445,39.28854531,8.128278703
52.3,29.33872916,39.32097738,8.104195789
52.4,29.4790531,39.43929877,8.062523203
52.5,29.36027891,39.3693907,8.128187249
52.6,29.50912252,39.56556537,8.14394784
52.7,28.93128857,39.09774415,8.092215302
52.8,29.19038671,39.39521882,8.07611938
52.9,29.73564545,40.02413841,8.147057279
53,29.71209107,39.87675575,8.13571697
53.1,29.72311653,40.00316665,8.190711371
53.2,29.82835948,40.0250046,8.20860589
53.3,29.9887297,40.09199192,8.161019272
53.4,29.96266954,40.23223008,8.173182668
53.5,30.08194489,40.04756328,8.164189681
53.6,29.81933866,39.79135313,8.216379489
53.7,29.97018689,40.20853452,8.169981774
53.8,30.2959389,40.48311781,8.16528713
53.9,30.49990977,40.70934707,8.256131539
54,30.24181395,40.59452365,8.149221693
54.1,30.08795877,40.31172331,8.222567883
54.2,30.27839841,40.61064062,8.200710353
54.3,30.12404207,40.49159069,8.211319029
54.4,30.28441229,40.65068169,8.254912151
54.5,30.44979408,40.71040009,8.166049248
54.6,30.28741923,40.36560879,8.239974648
54.7,30.1982133,40.40483632,8.221165587
54.8,30.15260802,40.34157783,8.266008582
54.9,30.15260802,40.51401639,8.178547975
55,30.29293196,40.75770113,8.201106654
55.1,30.46132069,40.99184166,8.277013559
55.2,30.55804398,41.02230146,8.214946708
55.3,30.47986349,40.957169,8.209794794
55.4,30.5926238,40.92716861,8.298444304
55.5,30.5705729,41.0143629,8.258966616
55.6,30.52496762,40.92219409,8.251650288
55.7,30.72392692,41.17104289,8.288780654
55.8,30.74998708,41.38335716,8.266953608
55.9,31.06571595,41.87792068,8.273111518
56,31.19651791,41.94757603,8.321673646
56.1,31.21205377,41.7205722,8.316491247
56.2,31.11883858,41.57644414,8.268355904
56.3,31.14940916,41.61878352,8.338531686
56.4,30.94042672,41.48118143,8.281068025
56.5,30.81914674,41.38830009,8.292591242
56.6,30.87377284,41.47362742,8.336763573
56.7,30.78807501,41.48873195,8.240127071
56.8,31.16644849,41.82361203,8.30859571
56.9,31.46664149,42.10998948,8.341519187
57,31.78838425,42.48750612,8.348744061
57.1,31.70118294,42.35476466,8.328105918
57.2,31.23360352,41.9803123,8.357127354
57.3,31.28472153,42.12558074,8.328685128
57.4,31.3874587,42.15847262,8.354322761
57.5,31.07523793,41.77691824,8.354048399
57.6,31.17947857,41.96609895,8.40236665
57.7,30.97099729,41.72768397,8.376515624
57.8,31.52527686,42.54215644,8.38252111
57.9,31.81995713,42.85525745,8.449435028
58,32.00688867,43.0516552,8.392977362
58.1,31.98283314,42.82138975,8.38303935
58.2,32.02342685,42.99399874,8.377247256
58.3,31.82597102,42.6519913,8.410749943
58.4,31.93021166,42.55948824,8.423919334
58.5,31.85604043,42.75369691,8.406817416
58.6,32.00137594,42.70203288,8.38608782
58.7,31.63553138,42.6109643,8.385722003
58.8,32.06051246,43.04003888,8.450654416
58.9,32.62982674,43.45021846,8.441844338
59,32.36070546,43.25836194,8.447331584
59.1,32.97662733,44.04902497,8.46967687
59.2,32.55766014,43.55663067,8.492845243
59.3,32.41833851,43.34209103,8.435716913
59.4,32.47947966,43.5495747,8.470347533
59.5,32.50153056,43.68573183,8.47726756
59.6,32.38325752,43.46205125,8.438887322
59.7,32.25345788,43.51978493,8.461476485
59.8,32.15122187,43.5690083,8.453885795
59.9,32.80523166,44.21483111,8.522506857
60,32.99968055,44.16622862,8.560734672
60.1,32.66490772,43.71223268,8.536712727
60.2,33.15203226,44.45187482,8.486778787
60.3,33.12196284,44.48602214,8.523360428
60.4,33.17107622,44.14702083,8.458519469
60.5,33.14601838,44.31486903,8.484187587
60.6,33.1981387,44.41815806,8.520799713
60.7,33.20916415,44.3485928,8.420078261
60.8,33.34547884,44.65427592,8.531682752
60.9,33.62913366,45.14823415,8.61493647
61,33.371539,44.88117327,8.562441815
61.1,33.18560977,44.49363933,8.604114401
61.2,32.95457643,44.39206282,8.58082409
61.3,32.91949544,44.22957174,8.531103542
61.4,32.86587165,44.0587716,8.53640788
61.5,32.97061345,44.30371567,8.52525048
61.6,33.04628815,44.38783321,8.544943597
61.7,33.20715952,44.67023027,8.587591693
61.8,33.20064448,44.63915425,8.609571163
61.9,33.49532476,44.94534749,8.582439779
62,33.57601102,45.2465709,8.595243353
62.1,33.50434558,45.06745117,8.625026906
62.2,33.61610358,45.11499243,8.606126391
62.3,33.57099946,45.10084537,8.612070908
62.4,33.72585695,45.33706112,8.593444756
62.5,33.73487777,45.43613888,8.659383164
62.6,33.86116932,45.27051292,8.609205346
62.7,33.4948236,45.02671627,8.628349739
62.8,33.58853995,45.33815549,8.608260321
62.9,33.92732203,45.5367353,8.612284301
63,34.32123138,46.15732205,8.619966446
63.1,34.13530216,46.05070433,8.659413649
63.2,34.37736096,46.14053621,8.656822449
63.3,34.18942711,45.84565975,8.648256248
63.4,34.16988199,46.00699603,8.621795528
63.5,34.15284265,46.00607484,8.735259585
63.6,33.75091479,45.71415971,8.65624324
63.7,33.91278848,45.67801048,8.739009203
