time,P1 [mmHg]3
1653.8,1.22537554
1653.9,1.223656009
1654,1.223910754
1654.1,1.224178237
1654.2,1.226662004
1654.3,1.22849617
1654.4,1.229209457
1654.5,1.229043873
1654.6,1.229285881
1654.7,1.229158508
1654.8,1.228037629
1654.9,1.227528138
1655,1.2262162
1655.1,1.22430561
1655.2,1.22332484
1655.3,1.223974441
1655.4,1.22467499
1655.5,1.226827588
1655.6,1.229948219
1655.7,1.230113803
1655.8,1.228992924
1655.9,1.228470696
1656,1.228903763
1656.1,1.228203213
1656.2,1.227438977
1656.3,1.225999666
1656.4,1.224114551
1656.5,1.223414001
1656.6,1.223681483
1656.7,1.225120795
1656.8,1.228075841
1656.9,1.228572594
1657,1.228508908
1657.1,1.228840077
1657.2,1.228649018
1657.3,1.228368798
1657.4,1.228419747
1657.5,1.227388028
1657.6,1.226419996
1657.7,1.224636779
1657.8,1.224980685
1657.9,1.225350065
1658,1.226470945
1658.1,1.22933683
1658.2,1.229986431
1658.3,1.229043873
1658.4,1.228852814
1658.5,1.228852814
1658.6,1.225961454
1658.7,1.225337328
1658.8,1.224471194
1658.9,1.222993671
1659,1.221299615
1659.1,1.221376038
1659.2,1.223477687
1659.3,1.225592074
1659.4,1.225133532
1659.5,1.225108057
1659.6,1.225069846
1659.7,1.224114551
1659.8,1.223210205
1659.9,1.221872792
1660,1.220955708
1660.1,1.220930234
1660.2,1.222802612
1660.3,1.225541124
1660.4,1.225846819
1660.5,1.22658558
1660.6,1.226063352
1660.7,1.226330835
1660.8,1.226381784
1660.9,1.225350065
1661,1.22262429
1661.1,1.221146767
1661.2,1.220777387
1661.3,1.222866298
1661.4,1.224751414
1661.5,1.22579587
1661.6,1.225260905
1661.7,1.225082583
1661.8,1.224050864
1661.9,1.222433231
1662,1.221452462
1662.1,1.221363301
1662.2,1.223146518
1662.3,1.225693972
1662.4,1.226560106
1662.5,1.225719446
1662.6,1.22495521
1662.7,1.224356559
1662.8,1.221936478
1662.9,1.220866548
1663,1.224063602
1663.1,1.226700216
1663.2,1.225732183
1663.3,1.225464701
1663.4,1.224496669
1663.5,1.222675239
1663.6,1.22197469
1663.7,1.222280384
1663.8,1.224929736
1663.9,1.225770395
1664,1.226190725
1664.1,1.22537554
1664.2,1.224012652
1664.3,1.221516148
1664.4,1.221923741
1664.5,1.22495521
1664.6,1.226521894
1664.7,1.225273642
1664.8,1.225541124
1664.9,1.224522143
1665,1.222331333
1665.1,1.222203961
1665.2,1.223732433
1665.3,1.226662004
1665.4,1.22630536
1665.5,1.226993173
1665.6,1.224331084
1665.7,1.221159505
1665.8,1.220153261
1665.9,1.221006657
1666,1.226419996
1666.1,1.225502913
1666.2,1.224318347
1666.3,1.224280135
1666.4,1.22169447
1666.5,1.219669244
1666.6,1.222076588
1666.7,1.225897768
1666.8,1.225044371
1666.9,1.224776888
1667,1.222980934
1667.1,1.21950366
1667.2,1.220815598
1667.3,1.22523543
1667.4,1.225706709
1667.5,1.226088827
1667.6,1.22402539
1667.7,1.221783631
1667.8,1.219567346
1667.9,1.220700963
1668,1.223757907
1668.1,1.22537554
1668.2,1.22509532
1668.3,1.22453488
1668.4,1.222280384
1668.5,1.219822092
1668.6,1.220293371
1668.7,1.223388526
1668.8,1.225923242
1668.9,1.225553862
1669,1.225910505
1669.1,1.223630534
1669.2,1.223617797
1669.3,1.219720193
1669.4,1.222382282
1669.5,1.224280135
1669.6,1.224203711
1669.7,1.223847068
1669.8,1.221452462
1669.9,1.219478185
1670,1.220165998
1670.1,1.22304462
1670.2,1.225617548
1670.3,1.225885031
1670.4,1.225630285
1670.5,1.22346495
1670.6,1.22020421
1670.7,1.220115049
1670.8,1.224764151
1670.9,1.230495921
1671,1.22961705
1671.1,1.229324093
1671.2,1.227591824
1671.3,1.225732183
1671.4,1.224866049
1671.5,1.225069846
1671.6,1.229362305
1671.7,1.230992675
1671.8,1.230916251
1671.9,1.229515152
1672,1.226878537
1672.1,1.220879285
1672.2,1.221656258
1672.3,1.223171993
1672.4,1.22728613
1672.5,1.227528138
1672.6,1.227388028
1672.7,1.226967698
1672.8,1.225604811
1672.9,1.222305859
1673,1.219758405
1673.1,1.222229435
1673.2,1.225464701
1673.3,1.226267149
